grain,grain_key,category,forecast_month,predicted_units,lower_bound,upper_bound,mae,mape_pct,model_used,confidence
sku,008cff0e5792219fae03e570f980b330,sports_leisure,2018-09-01,3.8,2.0,5.6,0.79,19.0,HW-trend,high
sku,008cff0e5792219fae03e570f980b330,sports_leisure,2018-10-01,4.0,2.2,5.8,0.79,19.0,HW-trend,high
sku,008cff0e5792219fae03e570f980b330,sports_leisure,2018-11-01,4.2,2.4,6.0,0.79,19.0,HW-trend,high
sku,0152f69b6cf919bcdaf117aa8c43e5a2,bed_bath_table,2018-09-01,3.1,0.0,11.5,5.56,92.8,HW-trend,low
sku,0152f69b6cf919bcdaf117aa8c43e5a2,bed_bath_table,2018-10-01,3.1,0.0,11.5,5.56,92.8,HW-trend,low
sku,0152f69b6cf919bcdaf117aa8c43e5a2,bed_bath_table,2018-11-01,3.0,0.0,11.4,5.56,92.8,HW-trend,low
sku,017692475c1c954ff597feda05131d73,perfumery,2018-05-01,4.8,1.3,8.2,2.4,44.6,HW-trend,medium
sku,017692475c1c954ff597feda05131d73,perfumery,2018-06-01,5.1,1.6,8.5,2.4,44.6,HW-trend,medium
sku,017692475c1c954ff597feda05131d73,perfumery,2018-07-01,5.4,2.0,8.9,2.4,44.6,HW-trend,medium
sku,027cdd14a677a5834bc67a9789db5021,perfumery,2018-09-01,16.7,9.6,23.8,5.67,100.0,HW-trend,low
sku,027cdd14a677a5834bc67a9789db5021,perfumery,2018-10-01,17.4,10.3,24.5,5.67,100.0,HW-trend,low
sku,027cdd14a677a5834bc67a9789db5021,perfumery,2018-11-01,18.0,11.0,25.1,5.67,100.0,HW-trend,low
sku,02ce467092b184e71d3967d29110adc1,office_furniture,2018-08-01,0.0,0.0,1.7,0.33,100.0,HW-trend,low
sku,02ce467092b184e71d3967d29110adc1,office_furniture,2018-09-01,0.0,0.0,1.7,0.33,100.0,HW-trend,low
sku,02ce467092b184e71d3967d29110adc1,office_furniture,2018-10-01,0.0,0.0,1.7,0.33,100.0,HW-trend,low
sku,036734b5a58d5d4f46b0616ddc047ced,telephony,2018-09-01,0.2,0.0,5.2,3.73,279.8,HW-trend,low
sku,036734b5a58d5d4f46b0616ddc047ced,telephony,2018-10-01,0.0,0.0,5.0,3.73,279.8,HW-trend,low
sku,036734b5a58d5d4f46b0616ddc047ced,telephony,2018-11-01,0.0,0.0,5.0,3.73,279.8,HW-trend,low
sku,044f05bc9de36e8a693a83e4bc79dd0d,telephony,2018-08-01,4.4,0.0,8.7,2.14,84.9,HW-trend,low
sku,044f05bc9de36e8a693a83e4bc79dd0d,telephony,2018-09-01,4.6,0.2,8.9,2.14,84.9,HW-trend,low
sku,044f05bc9de36e8a693a83e4bc79dd0d,telephony,2018-10-01,4.7,0.4,9.1,2.14,84.9,HW-trend,low
sku,04c4a4b9c924494fcf82e0fba966f955,watches_gifts,2018-07-01,2.3,0.0,6.2,2.56,68.8,HW-trend,low
sku,04c4a4b9c924494fcf82e0fba966f955,watches_gifts,2018-08-01,2.4,0.0,6.3,2.56,68.8,HW-trend,low
sku,04c4a4b9c924494fcf82e0fba966f955,watches_gifts,2018-09-01,2.5,0.0,6.4,2.56,68.8,HW-trend,low
sku,060c17562f97e5bb60bc0dfa4dd5b3f2,computers_accessories,2018-09-01,12.7,9.5,16.0,2.83,42.6,HW-trend,medium
sku,060c17562f97e5bb60bc0dfa4dd5b3f2,computers_accessories,2018-10-01,14.6,11.3,17.8,2.83,42.6,HW-trend,medium
sku,060c17562f97e5bb60bc0dfa4dd5b3f2,computers_accessories,2018-11-01,16.4,13.1,19.7,2.83,42.6,HW-trend,medium
sku,060cb19345d90064d1015407193c233d,auto,2018-03-01,1.3,0.0,3.5,1.22,121.8,HW-trend,low
sku,060cb19345d90064d1015407193c233d,auto,2018-04-01,1.3,0.0,3.4,1.22,121.8,HW-trend,low
sku,060cb19345d90064d1015407193c233d,auto,2018-05-01,1.2,0.0,3.3,1.22,121.8,HW-trend,low
sku,0654d3c1e3efc7e7cd9dbde9cb743df2,garden_tools,2018-07-01,4.2,0.3,8.0,3.27,69.2,HW-trend,low
